,id,date,from,to,statizId,trade type,resource,주포지션,before_regular_war_sum,after_regular_war_sum,before_regular_owar_sum,after_regular_owar_sum,before_regular_dwar_sum,after_regular_dwar_sum,before_regular_win_sum,after_regular_win_sum,before_regular_lose_sum,after_regular_lose_sum,before_regular_hold_sum,after_regular_hold_sum,before_regular_save_sum,after_regular_save_sum,before_regular_era_avg,after_regular_era_avg,before_regular_whip_avg,after_regular_whip_avg
57,24,2022-05-22,KT,SSG,11321,player,정성곤,P,-0.09,-1.3,,,,,9.0,3.0,28.0,3.0,16.0,11.0,8.0,8.0,6.022,6.168,1.686,1.783
58,25,2022-06-21,KT,한화,12655,player,류희운,P,-0.56,-0.43,,,,,5.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,8.021,9.393,1.807,1.907
59,25,2022-06-21,한화,KT,12526,player,이시원,CF,-1.23,-1.05,-2.08,-0.87,0.84,-0.17,,,,,,,,,,,,
60,26,2022-11-10,한화,KIA,14124,player,변우혁,1B,-0.23,0.36,-0.11,0.89,-0.12,-0.52,,,,,,,,,,,,
61,26,2022-11-10,KIA,한화,10812,player,한승혁,P,1.68,0.89,,,,,18.0,9.0,24.0,11.0,19.0,20.0,2.0,0.0,5.926,5.338,1.728,1.69
62,26,2022-11-10,KIA,한화,14178,player,장지수,P,0.11,-0.18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.587,10.673,1.704,2.345
63,27,2022-11-11,키움,KIA,12567,player,주효상,C,-1.59,-0.66,-1.38,-0.69,-0.21,0.03,,,,,,,,,,,,
64,28,2023-02-14,NC,한화,10119,player,이명기,LF,3.05,-0.96,4.01,-0.36,-0.95,-0.6,,,,,,,,,,,,
65,28,2023-02-14,NC,한화,12902,player,이재용,C,0.03,0.06,0.1,0.09,-0.07,-0.04,,,,,,,,,,,,
66,28,2023-02-14,한화,NC,14877,player,조현진,2B,0.0,-0.11,0.0,-0.06,0.0,-0.05,,,,,,,,,,,,
67,29,2023-04-27,키움,삼성,10871,player,김태훈,P,4.01,0.62,,,,,26.0,9.0,10.0,9.0,42.0,34.0,22.0,3.0,4.326,5.727,1.518,1.604
68,29,2023-04-27,삼성,키움,10180,player,이원석,3B,7.39,-1.46,9.49,-0.7,-2.11,-0.77,,,,,,,,,,,,
69,30,2023-05-19,KT,롯데,11311,player,심재민,P,3.51,1.05,,,,,13.0,3.0,20.0,1.0,31.0,6.0,2.0,0.0,5.243,5.328,1.646,1.854
70,30,2023-05-19,롯데,KT,13151,player,이호연,2B,-0.21,0.03,-0.33,0.03,0.13,0.0,,,,,,,,,,,,
71,31,2023-05-25,두산,SSG,11148,player,강진성,C,-0.32,-0.04,-0.35,-0.25,0.04,0.21,,,,,,,,,,,,
72,31,2023-05-25,SSG,두산,13124,player,김정우,P,-0.01,-0.35,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.35,3.0,3.433
73,32,2023-07-05,삼성,KIA,10459,player,김태군,C,1.63,1.3,1.24,0.9,0.39,0.4,,,,,,,,,,,,
74,32,2023-07-05,KIA,삼성,10894,player,류지혁,SS,3.92,0.47,4.06,1.43,-0.13,-0.96,,,,,,,,,,,,
75,33,2023-07-18,LG,NC,11387,player,채원후,P,0.42,-0.08,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.427,9.377,1.626,2.5
76,33,2023-07-18,NC,LG,14187,player,최승민,LF,-0.16,-0.56,0.05,-0.44,-0.21,-0.12,,,,,,,,,,,,
77,34,2023-07-29,키움,LG,11379,player,최원태,P,22.37,6.63,,,,,66.0,18.0,48.0,14.0,0.0,0.0,0.0,0.0,4.369,4.356,1.375,1.393
78,34,2023-07-29,LG,키움,14591,player,이주형,CF,-0.17,4.01,-0.09,3.94,-0.08,0.09,,,,,,,,,,,,
79,34,2023-07-29,LG,키움,15485,player,김동규,P,0.0,-0.56,,,,,,,,,,,,,,,,
80,35,2023-11-27,LG,롯데,10075,player,진해수,P,5.24,-0.1,,,,,18.0,2.0,15.0,1.0,120.0,7.0,2.0,0.0,4.183,5.529,1.485,1.725
81,36,2024-01-12,키움,SSG,10312,player,이지영,C,3.29,2.04,3.41,1.34,-0.13,0.69,,,,,,,,,,,,
82,37,2024-01-26,LG,롯데,10238,player,김민성,3B,4.62,1.72,3.84,1.2,0.79,0.51,,,,,,,,,,,,
83,37,2024-01-26,롯데,LG,12931,player,김민수,3B,0.01,-0.59,0.18,-0.26,-0.17,-0.33,,,,,,,,,,,,
84,38,2024-03-30,LG,롯데,14590,player,손호영,3B,-0.94,2.21,0.19,2.89,-1.14,-0.69,,,,,,,,,,,,
85,38,2024-03-30,롯데,LG,14816,player,우강훈,P,-0.02,0.26,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.498,9.287,26.25,8.498
86,39,2024-05-28,KT,삼성,10470,player,박병호,1B,7.05,0.4,5.43,0.09,1.6,0.3,,,,,,,,,,,,
87,39,2024-05-28,삼성,KT,10400,player,오재일,1B,5.2,-0.72,4.35,-0.23,0.86,-0.48,,,,,,,,,,,,
88,40,2024-05-30,키움,NC,14785,player,김휘집,SS,2.35,2.19,3.91,1.62,-1.56,0.57,,,,,,,,,,,,
89,9,2020-12-04,KT,롯데,15049,draft,김세민,2B,0.0,0.0,0.0,0.04,0.0,-0.04,,,,,,,,,,,,
90,10,2021-01-13,SSG,키움,15027,draft,노운현,P,0.0,-0.3,,,,,,,,,,,,,,,,
91,15,2021-07-22,롯데,NC,15055,draft,조효원,2B,,,,,,,,,,,,,,,,,,
92,19,2022-01-24,롯데,삼성,15498,draft,서현원,P,,,,,,,,,,,,,,,,,,
93,21,2022-04-24,KIA,키움,15473,draft,김동헌,C,0.0,0.51,0.0,0.75,0.0,-0.25,,,,,,,,,,,,
94,23,2022-05-21,KT,LG,15489,draft,임정균,P,,,,,,,,,,,,,,,,,,
95,27,2022-11-11,KIA,키움,16124,draft,이재상,SS,0.0,-1.04,0.0,-0.55,0.0,-0.49,,,,,,,,,,,,
96,28,2023-02-14,한화,NC,16058,draft,김세훈,2B,0.0,-0.1,0.0,-0.06,0.0,-0.05,,,,,,,,,,,,
97,29,2023-04-27,삼성,키움,16126,draft,이우현,P,,,,,,,,,,,,,,,,,,
98,34,2023-07-29,LG,키움,16122,draft,전준표,P,0.0,-0.35,,,,,,,,,,,,,,,,
